Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,56,4731,3619,2564,397,942,33,170,1468,0,0
W:\Git\source\core,56,4731,3619,2564,397,942,33,170,1468,0,0
W:\Git\source\core\src,55,4593,3504,2516,397,919,33,170,1468,0,0
W:\Git\source\core\src\org,55,4593,3504,2516,397,919,33,170,1468,0,0
W:\Git\source\core\src\org\voimala,55,4593,3504,2516,397,919,33,170,1468,0,0
W:\Git\source\core\src\org\voimala\myrts,51,4440,3410,2459,377,888,33,142,1347,0,0
W:\Git\source\core\src\org\voimala\myrts\app,2,175,121,89,12,42,1,12,58,0,0
W:\Git\source\core\src\org\voimala\myrts\exceptions,1,8,6,4,0,2,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\graphics,1,45,32,24,6,13,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\networking,10,1044,788,550,148,197,11,59,543,0,0
W:\Git\source\core\src\org\voimala\myrts\preferences,1,17,12,8,2,5,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens,36,3151,2451,1784,209,629,21,71,746,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay,24,1949,1496,1043,176,393,18,60,640,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\input,4,475,376,254,54,85,0,14,117,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\layers,1,5,3,2,0,2,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\states,3,51,32,22,0,19,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units,9,587,444,309,53,129,11,14,187,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\buildings,1,10,7,5,0,3,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\infantry,2,61,47,34,4,14,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\movements,2,362,279,190,39,72,11,11,159,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\vehicles,1,10,7,5,0,3,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\world,6,579,455,321,45,111,6,13,179,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\loadgameplay,2,176,131,92,7,44,1,1,15,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\menu,8,1009,812,642,26,187,2,10,91,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\menu\windows,7,829,662,529,20,157,2,10,91,0,0
W:\Git\source\core\src\org\voimala\utility,4,153,94,57,20,31,0,28,121,0,0
W:\Git\source\core\test,1,138,115,48,0,23,0,0,0,0,0
W:\Git\source\core\test\org,1,138,115,48,0,23,0,0,0,0,0
W:\Git\source\core\test\org\voimala,1,138,115,48,0,23,0,0,0,0,0
W:\Git\source\core\test\org\voimala\utility,1,138,115,48,0,23,0,0,0,0,0
